Content Category Name,Page Title,New Dev URL,Drupal URL,Links Status,Notes
Tech for Teachers,Chronozoom,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25836/,,All Working,
Tech for Teachers,TimelineJS,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25835/,,All Working,
Tech for Teachers,Sutori,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25834/,,All Working,
Tech for Teachers,Commonlit,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25833/,,All Working,
Tech for Teachers,Canva,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25832/,,All Working,
Tech for Teachers,Neatline,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25831/,,All Working,
Tech for Teachers,Historypin,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25830/,,Some or All Broken,not a broken link... but the link leads to a 404 page on history pin. So we should just change the link to this: https://www.historypin.org/
Tech for Teachers,Poll Everywhere,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25829/,,All Working,
Tech for Teachers,EdPuzzle,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25828/,,All Working,
Tech for Teachers,myHistro,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25809/,,Some or All Broken,"takes you to a random news site. I don't think myHistro exists anymore, the most recent thing written about it that I found was 2018. Should delete."
Tech for Teachers,ThingLink,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25808/,,All Working,
Tech for Teachers,Win the White House,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25807/,,All Working,
Tech for Teachers,Group Text-Messaging Tools,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25761/,,,No links on this page
Tech for Teachers,Social Pinboards,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25660/,,All Working,
Tech for Teachers,Moodle,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25633/,,All Working,
Tech for Teachers,IWitness,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25604/,,All Working,
Tech for Teachers,LiveBinders,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25517/,,All Working,
Tech for Teachers,PrintFriendly,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25459/,,All Working,
Tech for Teachers,Edmodo,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25425/,,Some or All Broken,Edmodo was shut down in 2022. Should delete.
Tech for Teachers,Evernote,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25363/,,All Working,
Tech for Teachers,WhatWasThere,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25346/,,Some or All Broken,WhatWasThere has been shut down. Should delete.
Tech for Teachers,"Google for Teachers: A Guide by ""Free Technology for Teachers""",https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/25316/,,Some or All Broken,"One link and it's broken, but i found this online so we could replace with this link: https://assistedtechnology.weebly.com/uploads/3/4/1/9/3419723/google_for_teachers.pdf"
