old_url,native_url,note
/nhec-blog,/blog/,blog section renamed
/quick-links-elementary,/elementary-quick-links/quick-links-for-elementary-school-teachers/,quick-links renamed
/quick-links-high,/high-quick-links/quick-links-for-high-school-teachers/,quick-links renamed
/quick-links-middle,/middle-quick-links/quick-links-for-middle-school-teachers/,quick-links renamed
/civil-war,/blog/civil-war-poster/,Civil War interactive poster moved to blog
/historical-thinking-poster-1,/blog/historical-thinking-interactive-poster/,historical-thinking poster moved to blog
/historical-thinking-poster-2,/blog/historical-thinking-poster/,historical-thinking poster 2 moved to blog
/outreach/print-materials,/page/print-materials/,print materials page moved
/outreach,/about/,outreach folded into About
/outreach/press,/about/,press releases folded into About
/history-content/history-in-multimedia,/history-content/,multimedia listing folded into section
