page,drupal_nid,title,usage,field,source,status,resolved_path
teachinghistory-website/content/best-practices/examples-of-historical-thinking/1775-colonial-newspaper-article.md,25207,1775 Colonial Newspaper Article,card,splash_image,/files/splash.papers.jpg,ok,teachinghistory-website/static/files/splash.papers.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/1775-colonial-newspaper-article.md,25207,1775 Colonial Newspaper Article,author,author_image,/files/author_image/barbara_1_0.jpg,ok,teachinghistory-website/static/files/author_image/barbara_1_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/1804-inventory.md,25206,1804 Inventory,card,splash_image,/files/splash.inventory.jpg,ok,teachinghistory-website/static/files/splash.inventory.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/1804-inventory.md,25206,1804 Inventory,author,author_image,/files/author_image/barbara_1.jpg,ok,teachinghistory-website/static/files/author_image/barbara_1.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/1853-daguerreotype.md,25204,1853 Daguerreotype,card,splash_image,/files/splash_0.jpg,ok,teachinghistory-website/static/files/splash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/1853-daguerreotype.md,25204,1853 Daguerreotype,author,author_image,/files/author_image/author_goodyear_0.jpg,ok,teachinghistory-website/static/files/author_image/author_goodyear_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/a-close-look-at-the-fdr-memorial.md,25846,A Close Look at the FDR Memorial,card,splash_image,/files/fdrsplash_0.jpg,ok,teachinghistory-website/static/files/fdrsplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/a-close-look-at-the-ulysses-s-grant-memorial.md,25860,A Close Look at the Ulysses S. Grant Memorial,card,splash_image,/files/grantsplash_0.jpg,ok,teachinghistory-website/static/files/grantsplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/a-close-look-at-the-world-war-ii-memorial.md,25847,A Close Look at the World War II Memorial,card,splash_image,/files/ww2splash_1_0.jpg,ok,teachinghistory-website/static/files/ww2splash_1_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/abolitionist-speeches-by-african-american-women.md,25354,Abolitionist Speeches by African American Women,card,splash_image,/files/replacesplash2.jpg,ok,teachinghistory-website/static/files/replacesplash2.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/abolitionist-speeches-by-african-american-women.md,25354,Abolitionist Speeches by African American Women,author,author_image,/files/author_image/author_peterson.jpg,ok,teachinghistory-website/static/files/author_image/author_peterson.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/an-introduction-to-historical-thinking-and-reading.md,14946,An Introduction to Historical Thinking and Reading,card,splash_image,/files/Reading-and-Thinking.jpg,ok,teachinghistory-website/static/files/Reading-and-Thinking.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/bill-of-rights.md,24424,Bill of Rights,card,splash_image,/files/billrights.jpeg,ok,teachinghistory-website/static/files/billrights.jpeg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/bill-of-rights.md,24424,Bill of Rights,author,author_image,/files/author_image/ridgway.jpg,ok,teachinghistory-website/static/files/author_image/ridgway.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/cherokee-law-of-blood.md,23417,Cherokee Law of Blood,card,splash_image,/files/CherokeeLawSplash.jpg,ok,teachinghistory-website/static/files/CherokeeLawSplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/cherokee-law-of-blood.md,23417,Cherokee Law of Blood,author,author_image,/files/author_image/Malinda_author.jpg,ok,teachinghistory-website/static/files/author_image/Malinda_author.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/civil-war-letters.md,25048,Civil War Letters,card,splash_image,/files/cwlettersplash.jpg,ok,teachinghistory-website/static/files/cwlettersplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/civil-war-letters.md,25048,Civil War Letters,author,author_image,/files/author_image/chandra.jpg,ok,teachinghistory-website/static/files/author_image/chandra.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/close-reading-for-vocabulary-context-and-tone.md,24028,"Close Reading for Vocabulary, Context, and Tone",card,splash_image,/files/splah-eoht-cr.jpg,ok,teachinghistory-website/static/files/splah-eoht-cr.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/close-reading-of-a-primary-document.md,19528,Close Reading of a Primary Document,card,splash_image,/files/Close_Reading_of_Primary_Document_-_432x240.jpg,ok,teachinghistory-website/static/files/Close_Reading_of_Primary_Document_-_432x240.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/creative-memo-on-lays-products.md,22890,Creative Memo on Lay's Products,card,splash_image,/files/CreativeMemoSplash.jpg,ok,teachinghistory-website/static/files/CreativeMemoSplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/creative-memo-on-lays-products.md,22890,Creative Memo on Lay's Products,author,author_image,/files/author_image/RogerHorowitz.jpg,ok,teachinghistory-website/static/files/author_image/RogerHorowitz.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/cross-checking-sources-and-testing-hypotheses.md,24030,Cross-checking Sources and Testing Hypotheses,card,splash_image,/files/splash-eoht-source-checking.jpg,ok,teachinghistory-website/static/files/splash-eoht-source-checking.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/daily-objects-19th-century-america.md,23423,"Daily Objects, 19th-century America",card,splash_image,/files/DailyObjects432x240.jpg,ok,teachinghistory-website/static/files/DailyObjects432x240.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/daily-objects-19th-century-america.md,23423,"Daily Objects, 19th-century America",author,author_image,/files/author_image/David_author2_0.jpg,ok,teachinghistory-website/static/files/author_image/David_author2_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/declaration-of-independence.md,25049,Declaration of Independence,card,splash_image,/files/decsplash.jpg,ok,teachinghistory-website/static/files/decsplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/declaration-of-independence.md,25049,Declaration of Independence,author,author_image,/files/author_image/zagarri.jpg,ok,teachinghistory-website/static/files/author_image/zagarri.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/fdrs-fireside-chats.md,24175,FDR's Fireside Chats,card,splash_image,/files/Allida.jpg,ok,teachinghistory-website/static/files/Allida.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/fdrs-fireside-chats.md,24175,FDR's Fireside Chats,author,author_image,/files/author_image/allidaauthor.jpg,ok,teachinghistory-website/static/files/author_image/allidaauthor.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/fdrs-second-inaugural-address.md,25174,FDR's Second Inaugural Address,card,splash_image,/files/kennedysplash.jpeg,ok,teachinghistory-website/static/files/kennedysplash.jpeg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/fdrs-second-inaugural-address.md,25174,FDR's Second Inaugural Address,author,author_image,/files/author_image/dkennedy.jpg,ok,teachinghistory-website/static/files/author_image/dkennedy.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/fords-theatre-lincolns-second-inaugural-address.md,25855,Ford's Theatre: Lincoln's Second Inaugural Address,card,splash_image,/files/Fords_1_0.jpg,ok,teachinghistory-website/static/files/Fords_1_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/frederick-douglasss-autobiographies.md,23495,Frederick Douglass's Autobiographies,card,splash_image,/files/FrederickDouglass.jpg,ok,teachinghistory-website/static/files/FrederickDouglass.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/frederick-douglasss-autobiographies.md,23495,Frederick Douglass's Autobiographies,author,author_image,/files/author_image/Jerome_author.jpg,ok,teachinghistory-website/static/files/author_image/Jerome_author.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/herman-melvilles-bartleby-the-scrivener.md,25205,"Herman Melville's ""Bartleby, the Scrivener""",card,splash_image,/files/splash.putmansmonthly.jpg,ok,teachinghistory-website/static/files/splash.putmansmonthly.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/herman-melvilles-bartleby-the-scrivener.md,25205,"Herman Melville's ""Bartleby, the Scrivener""",author,author_image,/files/author_image/author_hans.jpg,ok,teachinghistory-website/static/files/author_image/author_hans.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/intertextual-reading-of-two-primary-documents.md,19529,Intertextual Reading of Two Primary Documents,card,splash_image,/files/IntertextualReadingSplash.jpg,ok,teachinghistory-website/static/files/IntertextualReadingSplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/jackie-robinson-and-martin-luther-king-jr.md,25524,Jackie Robinson and Martin Luther King Jr.,card,splash_image,/files/pellom_splash.jpg,ok,teachinghistory-website/static/files/pellom_splash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/jackie-robinson-and-martin-luther-king-jr.md,25524,Jackie Robinson and Martin Luther King Jr.,author,author_image,/files/author_image/author_mcdaniels.jpg,ok,teachinghistory-website/static/files/author_image/author_mcdaniels.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/japanese-american-internment-ansel-adams-photos.md,25291,Japanese American Internment: Ansel Adams Photos,card,splash_image,/files/splash-eoht-manzanar.jpg,ok,teachinghistory-website/static/files/splash-eoht-manzanar.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/japanese-american-internment-ansel-adams-photos.md,25291,Japanese American Internment: Ansel Adams Photos,author,author_image,/files/author_image/author_wu_0.jpg,ok,teachinghistory-website/static/files/author_image/author_wu_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/japanese-american-internment-executive-order-9066.md,25292,Japanese American Internment: Executive Order 9066,card,splash_image,/files/wusplash.jpg,ok,teachinghistory-website/static/files/wusplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/japanese-american-internment-executive-order-9066.md,25292,Japanese American Internment: Executive Order 9066,author,author_image,/files/author_image/author_wu.jpg,ok,teachinghistory-website/static/files/author_image/author_wu.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/jeffersons-confidential-letter-to-congress.md,23420,Jefferson's Confidential Letter to Congress,card,splash_image,/files/Jeffersons_Confidential_Letter_-_432x240.jpg,ok,teachinghistory-website/static/files/Jeffersons_Confidential_Letter_-_432x240.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/jeffersons-confidential-letter-to-congress.md,23420,Jefferson's Confidential Letter to Congress,author,author_image,/files/author_image/Leah_author2.jpg,ok,teachinghistory-website/static/files/author_image/Leah_author2.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/john-browns-body.md,25095,John Brown's Body,card,splash_image,/files/screen-shot-2012-02-22-at-2.18.20-pm.jpg,ok,teachinghistory-website/static/files/screen-shot-2012-02-22-at-2.18.20-pm.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/john-browns-body.md,25095,John Brown's Body,author,author_image,/files/author_image/chandra_0.jpg,ok,teachinghistory-website/static/files/author_image/chandra_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/john-smith-map.md,25096,John Smith Map,card,splash_image,/files/johnsmithsplash.jpg,ok,teachinghistory-website/static/files/johnsmithsplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/john-smith-map.md,25096,John Smith Map,author,author_image,/files/author_image/barbara.jpg,ok,teachinghistory-website/static/files/author_image/barbara.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/letters-from-the-philippines.md,25471,Letters from the Philippines,card,splash_image,/files/kramersplash.jpg,ok,teachinghistory-website/static/files/kramersplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/letters-from-the-philippines.md,25471,Letters from the Philippines,author,author_image,/files/author_image/author_kramer.jpg,ok,teachinghistory-website/static/files/author_image/author_kramer.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/lincolns-second-inaugural-address.md,24440,Lincoln's Second Inaugural Address,card,splash_image,/files/Fords.jpg,ok,teachinghistory-website/static/files/Fords.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/lincolns-second-inaugural-address.md,24440,Lincoln's Second Inaugural Address,author,author_image,/files/author_image/jencks_author_0.jpg,ok,teachinghistory-website/static/files/author_image/jencks_author_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/massive-resistance-political-cartoons.md,25097,Massive Resistance Political Cartoons,card,splash_image,/files/massressplash.jpg,ok,teachinghistory-website/static/files/massressplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/massive-resistance-political-cartoons.md,25097,Massive Resistance Political Cartoons,author,author_image,/files/author_image/dougsmith.jpg,ok,teachinghistory-website/static/files/author_image/dougsmith.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/monticello-jeffersons-experiment.md,25859,Monticello: Jefferson's Experiment,card,splash_image,/files/experimentsplash_0.jpg,ok,teachinghistory-website/static/files/experimentsplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/my-lai-massacre-political-cartoon.md,24171,My Lai Massacre Political Cartoon,card,splash_image,/files/mylai.jpg,ok,teachinghistory-website/static/files/mylai.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/my-lai-massacre-political-cartoon.md,24171,My Lai Massacre Political Cartoon,author,author_image,/files/author_image/author_lair.jpg,ok,teachinghistory-website/static/files/author_image/author_lair.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/narratives-of-slavery.md,23459,Narratives of Slavery,card,splash_image,/files/Narratives.jpg,ok,teachinghistory-website/static/files/Narratives.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/narratives-of-slavery.md,23459,Narratives of Slavery,author,author_image,/files/author_image/Follett_author.jpg,ok,teachinghistory-website/static/files/author_image/Follett_author.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/national-portrait-gallery-teaching-with-19th-century-portraits.md,25850,National Portrait Gallery: Teaching with 19th-Century Portraits,card,splash_image,/files/portraitsplash_0.jpg,ok,teachinghistory-website/static/files/portraitsplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/paintings-about-segregation.md,25843,Paintings About Segregation,card,splash_image,/files/splash1_0.jpg,ok,teachinghistory-website/static/files/splash1_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/piscataway-park-and-tobacco-farming.md,25862,Piscataway Park and Tobacco Farming,card,splash_image,/files/piscatawaysplash_0.jpg,ok,teachinghistory-website/static/files/piscatawaysplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/pockets-from-the-past-daily-life-at-monticello.md,25858,Pockets from the Past: Daily Life at Monticello,card,splash_image,/files/mysterypocketsplash_0.jpg,ok,teachinghistory-website/static/files/mysterypocketsplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/primary-sources-as-windows-into-the-past.md,24027,Primary Sources as Windows into the Past,card,splash_image,/files/splash-eoht-window.jpg,ok,teachinghistory-website/static/files/splash-eoht-window.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/reading-for-context.md,24029,Reading for Context,card,splash_image,/files/splash-eoht-br.jpg,ok,teachinghistory-website/static/files/splash-eoht-br.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/reading-place-with-the-national-building-museum.md,25853,Reading Place with the National Building Museum,card,splash_image,/files/buildingmuseumsplash_0.jpg,ok,teachinghistory-website/static/files/buildingmuseumsplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/scenes-in-the-life-of-harriet-tubman.md,25379,Scenes in the Life of Harriet Tubman,card,splash_image,/files/tiyasplash.jpg,ok,teachinghistory-website/static/files/tiyasplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/scenes-in-the-life-of-harriet-tubman.md,25379,Scenes in the Life of Harriet Tubman,author,author_image,/files/author_image/author_miles.jpg,ok,teachinghistory-website/static/files/author_image/author_miles.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/seeing-and-engaging-in-historical-thinking-a-tutorial.md,19444,Seeing (and Engaging in) Historical Thinking: A Tutorial,card,splash_image,/files/Seeing_and_Engaging_-_432x240.jpg,ok,teachinghistory-website/static/files/Seeing_and_Engaging_-_432x240.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/slave-life-at-mount-vernon.md,25849,Slave Life at Mount Vernon,card,splash_image,/files/vernonsplash_0.jpg,ok,teachinghistory-website/static/files/vernonsplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/slave-receipts.md,23641,Slave Receipts,card,splash_image,/files/SlaveReceiptsSplash.jpg,ok,teachinghistory-website/static/files/SlaveReceiptsSplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/slave-receipts.md,23641,Slave Receipts,author,author_image,/files/author_image/thurston_1.jpg,ok,teachinghistory-website/static/files/author_image/thurston_1.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/slavery-at-jeffersons-monticello-paradox-of-liberty.md,25848,Slavery at Jefferson's Monticello: Paradox of Liberty,card,splash_image,/files/paradoxsplash_0.jpg,ok,teachinghistory-website/static/files/paradoxsplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/smithsonian-american-art-museum-acehlous-and-hercules.md,25857,"Smithsonian American Art Museum: ""Acehlous and Hercules""",card,splash_image,/files/splash2_0_0.jpg,ok,teachinghistory-website/static/files/splash2_0_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/smithsonian-american-art-museum-close-observation.md,25844,Smithsonian American Art Museum: Close Observation,card,splash_image,/files/amartsplash_0.jpg,ok,teachinghistory-website/static/files/amartsplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/smithsonian-american-art-museum-inventing-a-better-mousetrap.md,25854,"Smithsonian American Art Museum: ""Inventing a Better Mousetrap""",card,splash_image,/files/patentsplash_0.jpg,ok,teachinghistory-website/static/files/patentsplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/smithsonian-american-art-museum-teaching-with-19th-century-art.md,25856,Smithsonian American Art Museum: Teaching with 19th-Century Art,card,splash_image,/files/amart1splash_0.jpg,ok,teachinghistory-website/static/files/amart1splash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/smithsonian-american-art-museum-westward-the-course-of-empire.md,25851,"Smithsonian American Art Museum: ""Westward the Course of Empire""",card,splash_image,/files/replacesplash_0.jpg,ok,teachinghistory-website/static/files/replacesplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/sourcing-a-primary-document.md,15765,Sourcing a Primary Document,card,splash_image,/files/Sourcing_a_Primary_Document_-_432x240.jpg,ok,teachinghistory-website/static/files/Sourcing_a_Primary_Document_-_432x240.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/the-barbary-pirates-letter-from-tripoli.md,24298,The Barbary Pirates: Letter from Tripoli,card,splash_image,/files/Christine-Sears.jpg,ok,teachinghistory-website/static/files/Christine-Sears.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/the-barbary-pirates-letter-from-tripoli.md,24298,The Barbary Pirates: Letter from Tripoli,author,author_image,/files/author_image/image-eoht-sears.jpg,ok,teachinghistory-website/static/files/author_image/image-eoht-sears.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/the-election-of-1932-clifford-berryman-cartoon.md,25169,The Election of 1932: Clifford Berryman Cartoon,card,splash_image,/files/maine.jpeg,ok,teachinghistory-website/static/files/maine.jpeg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/the-election-of-1932-clifford-berryman-cartoon.md,25169,The Election of 1932: Clifford Berryman Cartoon,author,author_image,/files/author_image/2010_-_oah_-_author_image_-_don_ritchie_0.jpg,ok,teachinghistory-website/static/files/author_image/2010_-_oah_-_author_image_-_don_ritchie_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/the-election-of-1932-photographs-of-fdr.md,25170,The Election of 1932: Photographs of FDR,card,splash_image,/files/fdr_inauguration_photo.jpg,ok,teachinghistory-website/static/files/fdr_inauguration_photo.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/the-election-of-1932-photographs-of-fdr.md,25170,The Election of 1932: Photographs of FDR,author,author_image,/files/author_image/2010_-_oah_-_author_image_-_don_ritchie_1.jpg,ok,teachinghistory-website/static/files/author_image/2010_-_oah_-_author_image_-_don_ritchie_1.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/the-iran-hostage-crisis-diary-of-robert-ode.md,25318,The Iran Hostage Crisis: Diary of Robert Ode,card,splash_image,/files/hahnsplash.jpg,ok,teachinghistory-website/static/files/hahnsplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/the-iran-hostage-crisis-diary-of-robert-ode.md,25318,The Iran Hostage Crisis: Diary of Robert Ode,author,author_image,/files/author_image/2010_-_oah_-_author_image_-_peter_hahn.jpg,ok,teachinghistory-website/static/files/author_image/2010_-_oah_-_author_image_-_peter_hahn.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/the-salem-witch-trials.md,24551,The Salem Witch Trials,card,splash_image,/files/salemreissplash.jpg,ok,teachinghistory-website/static/files/salemreissplash.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/the-salem-witch-trials.md,24551,The Salem Witch Trials,author,author_image,/files/author_image/reis-photo.jpg,ok,teachinghistory-website/static/files/author_image/reis-photo.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/the-us-holocaust-memorial-museum-personalizing-history.md,25845,The U.S. Holocaust Memorial Museum: Personalizing History,card,splash_image,/files/holosplash_0_0.jpg,ok,teachinghistory-website/static/files/holosplash_0_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/thomas-nast-cartoon.md,25201,Thomas Nast Cartoon,card,splash_image,/files/splah.cartoon.jpg,ok,teachinghistory-website/static/files/splah.cartoon.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/thomas-nast-cartoon.md,25201,Thomas Nast Cartoon,author,author_image,/files/author_image/author_o_malley.jpg,ok,teachinghistory-website/static/files/author_image/author_o_malley.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/touring-monticello.md,25861,Touring Monticello,card,splash_image,/files/housetoursplash_0.jpg,ok,teachinghistory-website/static/files/housetoursplash_0.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/two-blues-songs.md,25203,Two Blues Songs,card,splash_image,/files/splash.blues_.jpg,ok,teachinghistory-website/static/files/splash.blues_.jpg
teachinghistory-website/content/best-practices/examples-of-historical-thinking/two-blues-songs.md,25203,Two Blues Songs,author,author_image,/files/author_image/levine.jpg,ok,teachinghistory-website/static/files/author_image/levine.jpg
