section,page_title,page_url,source_file,link_url,link_text
best-practices,An Introduction to Historical Thinking and Reading,/best-practices/examples-of-historical-thinking/14946,best-practices/examples-of-historical-thinking/an-introduction-to-historical-thinking-and-reading-14946.md,http://historicalthinkingmatters.org/why.html,movie
best-practices,"Close Reading for Vocabulary, Context, and Tone",/best-practices/examples-of-historical-thinking/24028,best-practices/examples-of-historical-thinking/close-reading-for-vocabulary-context-and-tone-24028.md,http://historicalthinkingmatters.org/scopestrial/1/studentwork/ta1/,student think-aloud
best-practices,"Close Reading for Vocabulary, Context, and Tone",/best-practices/examples-of-historical-thinking/24028,best-practices/examples-of-historical-thinking/close-reading-for-vocabulary-context-and-tone-24028.md,http://historicalthinkingmatters.org/scopestrial/1/sources/45/,here
best-practices,Close Reading of a Primary Document,/best-practices/examples-of-historical-thinking/19528,best-practices/examples-of-historical-thinking/close-reading-of-a-primary-document-19528.md,http://historicalthinkingmatters.org/socialsecurity/1/sources/31/,here
best-practices,Cross-checking Sources and Testing Hypotheses,/best-practices/examples-of-historical-thinking/24030,best-practices/examples-of-historical-thinking/cross-checking-sources-and-testing-hypotheses-24030.md,http://historicalthinkingmatters.org/rosaparks/1/studentwork/ta2/,video clip
best-practices,Cross-checking Sources and Testing Hypotheses,/best-practices/examples-of-historical-thinking/24030,best-practices/examples-of-historical-thinking/cross-checking-sources-and-testing-hypotheses-24030.md,http://historicalthinkingmatters.org/rosaparks/0/inquiry/,here
best-practices,FDR's Fireside Chats,/best-practices/examples-of-historical-thinking/24175,best-practices/examples-of-historical-thinking/fdrs-fireside-chats-24175.md,http://www.gwu.edu/~erpapers/,"The Eleanor
  Roosevelt Papers"
best-practices,Intertextual Reading of Two Primary Documents,/best-practices/examples-of-historical-thinking/19529,best-practices/examples-of-historical-thinking/intertextual-reading-of-two-primary-documents-19529.md,http://historicalthinkingmatters.org/socialsecurity/1/studentwork/ta2/,student think-aloud
best-practices,Intertextual Reading of Two Primary Documents,/best-practices/examples-of-historical-thinking/19529,best-practices/examples-of-historical-thinking/intertextual-reading-of-two-primary-documents-19529.md,http://historicalthinkingmatters.org/socialsecurity/1/sources/,here
best-practices,Narratives of Slavery,/best-practices/examples-of-historical-thinking/23459,best-practices/examples-of-historical-thinking/narratives-of-slavery-23459.md,http://www.sussex.ac.uk/cunliffe/,"Cunliffe Centre for the Study of the
  American South"
best-practices,Primary Sources as Windows into the Past,/best-practices/examples-of-historical-thinking/24027,best-practices/examples-of-historical-thinking/primary-sources-as-windows-into-the-past-24027.md,http://historicalthinkingmatters.org/scopestrial/1/studentwork/ta2/,student think-aloud
best-practices,Primary Sources as Windows into the Past,/best-practices/examples-of-historical-thinking/24027,best-practices/examples-of-historical-thinking/primary-sources-as-windows-into-the-past-24027.md,http://historicalthinkingmatters.org/scopestrial/1/sources/40/,here
best-practices,Reading for Context,/best-practices/examples-of-historical-thinking/24029,best-practices/examples-of-historical-thinking/reading-for-context-24029.md,http://historicalthinkingmatters.org/rosaparks/1/studentwork/ta1/,video
best-practices,Reading for Context,/best-practices/examples-of-historical-thinking/24029,best-practices/examples-of-historical-thinking/reading-for-context-24029.md,http://historicalthinkingmatters.org/rosaparks/1/sources/25/,here
best-practices,Seeing (and Engaging in) Historical Thinking: A Tutorial,/best-practices/examples-of-historical-thinking/19444,best-practices/examples-of-historical-thinking/seeing-and-engaging-in-historical-thinking-a-tutorial-19444.md,http://www.historicalinquiry.com/,"*Historical Inquiry: Scaffolding Wise Practices in the History Classroom,*"
best-practices,Slave Receipts,/best-practices/examples-of-historical-thinking/23641,best-practices/examples-of-historical-thinking/slave-receipts-23641.md,https://www.gilderlehrman.org/,"Gilder Lehrman Center for the
  Study of Slavery, Resistance, and Abolition"
