section,page_title,page_url,source_file,link_url,link_text,http_status,final_url,remote_title,redirect_domain_changed,needs_review,reason
best-practices,An Introduction to Historical Thinking and Reading,/best-practices/examples-of-historical-thinking/14946,best-practices/examples-of-historical-thinking/an-introduction-to-historical-thinking-and-reading-14946.md,http://historicalthinkingmatters.org/why.html,movie,200,https://historicalthinkingmatters.org/why.html,why,False,False,
best-practices,"Close Reading for Vocabulary, Context, and Tone",/best-practices/examples-of-historical-thinking/24028,best-practices/examples-of-historical-thinking/close-reading-for-vocabulary-context-and-tone-24028.md,http://historicalthinkingmatters.org/scopestrial/1/studentwork/ta1/,student think-aloud,200,https://historicalthinkingmatters.org/scopestrial/1/studentwork/ta1/,Historical Thinking Matters: Scopes Trial,False,False,
best-practices,"Close Reading for Vocabulary, Context, and Tone",/best-practices/examples-of-historical-thinking/24028,best-practices/examples-of-historical-thinking/close-reading-for-vocabulary-context-and-tone-24028.md,http://historicalthinkingmatters.org/scopestrial/1/sources/45/,here,200,https://historicalthinkingmatters.org/scopestrial/1/sources/45/,Historical Thinking Matters: Scopes Trial,False,False,
best-practices,Close Reading of a Primary Document,/best-practices/examples-of-historical-thinking/19528,best-practices/examples-of-historical-thinking/close-reading-of-a-primary-document-19528.md,http://historicalthinkingmatters.org/socialsecurity/1/sources/31/,here,200,https://historicalthinkingmatters.org/socialsecurity/1/sources/31/,Historical Thinking Matters: Social Security,False,False,
best-practices,Cross-checking Sources and Testing Hypotheses,/best-practices/examples-of-historical-thinking/24030,best-practices/examples-of-historical-thinking/cross-checking-sources-and-testing-hypotheses-24030.md,http://historicalthinkingmatters.org/rosaparks/1/studentwork/ta2/,video clip,200,https://historicalthinkingmatters.org/rosaparks/1/studentwork/ta2/,Historical Thinking Matters: Rosa Parks,False,False,
best-practices,Cross-checking Sources and Testing Hypotheses,/best-practices/examples-of-historical-thinking/24030,best-practices/examples-of-historical-thinking/cross-checking-sources-and-testing-hypotheses-24030.md,http://historicalthinkingmatters.org/rosaparks/0/inquiry/,here,200,https://historicalthinkingmatters.org/rosaparks/0/inquiry/,Historical Thinking Matters: Rosa Parks,False,False,
best-practices,FDR's Fireside Chats,/best-practices/examples-of-historical-thinking/24175,best-practices/examples-of-historical-thinking/fdrs-fireside-chats-24175.md,http://www.gwu.edu/~erpapers/,"The Eleanor
  Roosevelt Papers",200,https://www2.gwu.edu/~erpapers/,The Eleanor Roosevelt Papers Project,True,True,redirected to different domain: 2.gwu.edu
best-practices,Intertextual Reading of Two Primary Documents,/best-practices/examples-of-historical-thinking/19529,best-practices/examples-of-historical-thinking/intertextual-reading-of-two-primary-documents-19529.md,http://historicalthinkingmatters.org/socialsecurity/1/studentwork/ta2/,student think-aloud,200,https://historicalthinkingmatters.org/socialsecurity/1/studentwork/ta2/,Historical Thinking Matters: Social Security,False,False,
best-practices,Intertextual Reading of Two Primary Documents,/best-practices/examples-of-historical-thinking/19529,best-practices/examples-of-historical-thinking/intertextual-reading-of-two-primary-documents-19529.md,http://historicalthinkingmatters.org/socialsecurity/1/sources/,here,200,https://historicalthinkingmatters.org/socialsecurity/1/sources/,Historical Thinking Matters: Social Security,False,False,
best-practices,Narratives of Slavery,/best-practices/examples-of-historical-thinking/23459,best-practices/examples-of-historical-thinking/narratives-of-slavery-23459.md,http://www.sussex.ac.uk/cunliffe/,"Cunliffe Centre for the Study of the
  American South",200,https://www.sussex.ac.uk/schools/media-arts-humanities/subjects-and-people/american-studies,"American Studies : Subjects and people : Faculty of Media, Arts and Humanities : University of Sussex",False,False,
best-practices,Primary Sources as Windows into the Past,/best-practices/examples-of-historical-thinking/24027,best-practices/examples-of-historical-thinking/primary-sources-as-windows-into-the-past-24027.md,http://historicalthinkingmatters.org/scopestrial/1/studentwork/ta2/,student think-aloud,200,https://historicalthinkingmatters.org/scopestrial/1/studentwork/ta2/,Historical Thinking Matters: Scopes Trial,False,False,
best-practices,Primary Sources as Windows into the Past,/best-practices/examples-of-historical-thinking/24027,best-practices/examples-of-historical-thinking/primary-sources-as-windows-into-the-past-24027.md,http://historicalthinkingmatters.org/scopestrial/1/sources/40/,here,200,https://historicalthinkingmatters.org/scopestrial/1/sources/40/,Historical Thinking Matters: Scopes Trial,False,False,
best-practices,Reading for Context,/best-practices/examples-of-historical-thinking/24029,best-practices/examples-of-historical-thinking/reading-for-context-24029.md,http://historicalthinkingmatters.org/rosaparks/1/studentwork/ta1/,video,200,https://historicalthinkingmatters.org/rosaparks/1/studentwork/ta1/,Historical Thinking Matters: Rosa Parks,False,False,
best-practices,Reading for Context,/best-practices/examples-of-historical-thinking/24029,best-practices/examples-of-historical-thinking/reading-for-context-24029.md,http://historicalthinkingmatters.org/rosaparks/1/sources/25/,here,200,https://historicalthinkingmatters.org/rosaparks/1/sources/25/,Historical Thinking Matters: Rosa Parks,False,False,
best-practices,Seeing (and Engaging in) Historical Thinking: A Tutorial,/best-practices/examples-of-historical-thinking/19444,best-practices/examples-of-historical-thinking/seeing-and-engaging-in-historical-thinking-a-tutorial-19444.md,http://www.historicalinquiry.com/,"*Historical Inquiry: Scaffolding Wise Practices in the History Classroom,*",200,http://www.historicalinquiry.com/,| Historical Inquiry |,False,False,
best-practices,Slave Receipts,/best-practices/examples-of-historical-thinking/23641,best-practices/examples-of-historical-thinking/slave-receipts-23641.md,https://www.gilderlehrman.org/,"Gilder Lehrman Center for the
  Study of Slavery, Resistance, and Abolition",403,https://www.gilderlehrman.org/,,False,True,HTTP 403
best-practices,Sourcing a Primary Document,/best-practices/examples-of-historical-thinking/15765,best-practices/examples-of-historical-thinking/sourcing-a-primary-document-15765.md,http://historicalthinkingmatters.org/scopestrial/0/inquiry/main/resources/41/,historian think aloud,200,https://historicalthinkingmatters.org/scopestrial/0/inquiry/main/resources/41/,Historical Thinking Matters: Scopes Trial,False,False,
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.learner.org/resources/series172.html?pop=yes&pid=1864#,*Learning from Others: Learning in a Social Context*,404,https://www.learner.org/resources/series172.html?pop=yes&pid=1864,,False,True,HTTP 404
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.learner.org,Annenberg Media,200,https://www.learner.org/,Annenberg Learner - Annenberg Learner,False,False,
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.pbs.org/wnet/historyofus/web07/segment2b.html,Southern laws known as Black Codes.,403,https://www.thirteen.org/wnet/historyofus/web07/segment2b.html,,True,True,HTTP 403; redirected to different domain: thirteen.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/index.php,"Foundations of U.S. History, Virginia History as U.S. History",200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/,"*Foundations of U.S. History, Virginia History as U.S. History*",200,https://chnm.gmu.edu/loudountah/,Foundations of U.S. History: A TAH Grant,False,False,
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/classroom-practice/,4th graders learning about John Brown's raid,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/get-the-songs/,"""John Brown's Body",200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/scholar-analysis/,short videos of a scholar analyzing the song,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/teacher-analysis/,teacher reflecting on the lesson,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/lessons/lesson5/BrownBodyGuidingQuestions.pdf,Guiding Question worksheet,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/lesson-plan/,comprehensive lesson plan,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Geo-Literacy Project: Students Explore Their World,/best-practices/teaching-in-action/23798,best-practices/teaching-in-action/geo-literacy-project-students-explore-their-world-23798.md,http://www.edutopia.org/geography-literacy-elementary-project-video,website,404,https://www.edutopia.org/geography-literacy-elementary-project-video,,False,True,HTTP 404
best-practices,Historical Context and Roleplaying,/best-practices/teaching-in-action/14947,best-practices/teaching-in-action/historical-context-and-roleplaying-14947.md,http://www.tc.edu/ncrest/teachers/andrews/index.htm,website,200,https://www.tc.columbia.edu/ncrest/teachers/andrews/index.htm,5th Grade Social Studies:  Colonial Perspectives,True,True,redirected to different domain: tc.columbia.edu
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://chnm.gmu.edu/acpstah/,"Teaching American
  History",200,https://chnm.gmu.edu/acpstah/,Creating a More Perfect Community,False,False,
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://www.neh.gov/divisions/education/summer-programs,"National Endowment for the Humanities Summer
  Institute",200,https://www.neh.gov/divisions/education/summer-programs,Division of Education Professional Development Programs | National Endowment for the Humanities,False,False,
