section,page_title,page_url,source_file,link_url,link_text,http_status,final_url,remote_title,redirect_domain_changed,needs_review,reason
best-practices,FDR's Fireside Chats,/best-practices/examples-of-historical-thinking/24175,best-practices/examples-of-historical-thinking/fdrs-fireside-chats-24175.md,http://www.gwu.edu/~erpapers/,"The Eleanor
  Roosevelt Papers",200,https://www2.gwu.edu/~erpapers/,The Eleanor Roosevelt Papers Project,True,True,redirected to different domain: 2.gwu.edu
best-practices,Slave Receipts,/best-practices/examples-of-historical-thinking/23641,best-practices/examples-of-historical-thinking/slave-receipts-23641.md,https://www.gilderlehrman.org/,"Gilder Lehrman Center for the
  Study of Slavery, Resistance, and Abolition",403,https://www.gilderlehrman.org/,,False,True,HTTP 403
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.learner.org/resources/series172.html?pop=yes&pid=1864#,*Learning from Others: Learning in a Social Context*,404,https://www.learner.org/resources/series172.html?pop=yes&pid=1864,,False,True,HTTP 404
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.pbs.org/wnet/historyofus/web07/segment2b.html,Southern laws known as Black Codes.,403,https://www.thirteen.org/wnet/historyofus/web07/segment2b.html,,True,True,HTTP 403; redirected to different domain: thirteen.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/index.php,"Foundations of U.S. History, Virginia History as U.S. History",200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/classroom-practice/,4th graders learning about John Brown's raid,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/get-the-songs/,"""John Brown's Body",200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/scholar-analysis/,short videos of a scholar analyzing the song,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/teacher-analysis/,teacher reflecting on the lesson,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/lessons/lesson5/BrownBodyGuidingQuestions.pdf,Guiding Question worksheet,200,https://rrchnm.org,Roy Rosenzweig Center for History and New Media,True,True,redirected to different domain: rrchnm.org
