section,page_title,page_url,source_file,link_url,link_text,link_kind,doc_heading,in_bibliography,in_caption,http_status,final_url,redirect_kind,remote_title,broken_category,bucket,bulk_delete_candidate,confidence,suggested_action,wayback_url,wayback_status
best-practices,1775 Colonial Newspaper Article,/best-practices/examples-of-historical-thinking/25207,best-practices/examples-of-historical-thinking/1775-colonial-newspaper-article-25207.md,http://historymatters.gmu.edu/mse/sia/newspaper.htm#,http://historymatters.gmu.edu/mse/sia/newspaper.htm#,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,1804 Inventory,/best-practices/examples-of-historical-thinking/25206,best-practices/examples-of-historical-thinking/1804-inventory-25206.md,http://historymatters.gmu.edu/mse/sia/inventory.htm,http://historymatters.gmu.edu/mse/sia/inventory.htm,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,An Introduction to Historical Thinking and Reading,/best-practices/examples-of-historical-thinking/14946,best-practices/examples-of-historical-thinking/an-introduction-to-historical-thinking-and-reading-14946.md,http://historicalthinkingmatters.org/why.html,movie,hyperlink,,False,False,200,https://historicalthinkingmatters.org/why.html,benign,why,live,none,False,high,ok,,
best-practices,An Introduction to Historical Thinking and Reading,/best-practices/examples-of-historical-thinking/14946,best-practices/examples-of-historical-thinking/an-introduction-to-historical-thinking-and-reading-14946.md,http://historicalthinkingmatters.org/why/,http://historicalthinkingmatters.org/why/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Bill of Rights,/best-practices/examples-of-historical-thinking/24424,best-practices/examples-of-historical-thinking/bill-of-rights-24424.md,http://chnm.gmu.edu/mcpstah/source-analysis/bill-of-rights/,http://chnm.gmu.edu/mcpstah/source-analysis/bill-of-rights/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Civil War Letters,/best-practices/examples-of-historical-thinking/25048,best-practices/examples-of-historical-thinking/civil-war-letters-25048.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,"Close Reading for Vocabulary, Context, and Tone",/best-practices/examples-of-historical-thinking/24028,best-practices/examples-of-historical-thinking/close-reading-for-vocabulary-context-and-tone-24028.md,http://historicalthinkingmatters.org/scopestrial/1/studentwork/ta1/,student think-aloud,hyperlink,,False,False,200,https://historicalthinkingmatters.org/scopestrial/1/studentwork/ta1/,benign,Historical Thinking Matters: Scopes Trial,live,none,False,high,ok,,
best-practices,"Close Reading for Vocabulary, Context, and Tone",/best-practices/examples-of-historical-thinking/24028,best-practices/examples-of-historical-thinking/close-reading-for-vocabulary-context-and-tone-24028.md,http://historicalthinkingmatters.org/scopestrial/1/sources/45/,here,hyperlink,,False,False,200,https://historicalthinkingmatters.org/scopestrial/1/sources/45/,benign,Historical Thinking Matters: Scopes Trial,live,none,False,high,ok,,
best-practices,Close Reading of a Primary Document,/best-practices/examples-of-historical-thinking/19528,best-practices/examples-of-historical-thinking/close-reading-of-a-primary-document-19528.md,http://historicalthinkingmatters.org/socialsecurity/1/sources/31/,here,hyperlink,,False,False,200,https://historicalthinkingmatters.org/socialsecurity/1/sources/31/,benign,Historical Thinking Matters: Social Security,live,none,False,high,ok,,
best-practices,Close Reading of a Primary Document,/best-practices/examples-of-historical-thinking/19528,best-practices/examples-of-historical-thinking/close-reading-of-a-primary-document-19528.md,http://historicalthinkingmatters.org/socialsecurity/1/studentwork/ta1/,http://historicalthinkingmatters.org/socialsecurity/1/studentwork/ta1/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Cross-checking Sources and Testing Hypotheses,/best-practices/examples-of-historical-thinking/24030,best-practices/examples-of-historical-thinking/cross-checking-sources-and-testing-hypotheses-24030.md,http://historicalthinkingmatters.org/rosaparks/1/studentwork/ta2/,video clip,hyperlink,,False,False,200,https://historicalthinkingmatters.org/rosaparks/1/studentwork/ta2/,benign,Historical Thinking Matters: Rosa Parks,live,none,False,high,ok,,
best-practices,Cross-checking Sources and Testing Hypotheses,/best-practices/examples-of-historical-thinking/24030,best-practices/examples-of-historical-thinking/cross-checking-sources-and-testing-hypotheses-24030.md,http://historicalthinkingmatters.org/rosaparks/0/inquiry/,here,hyperlink,,False,False,200,https://historicalthinkingmatters.org/rosaparks/0/inquiry/,benign,Historical Thinking Matters: Rosa Parks,live,none,False,high,ok,,
best-practices,Declaration of Independence,/best-practices/examples-of-historical-thinking/25049,best-practices/examples-of-historical-thinking/declaration-of-independence-25049.md,http://chnm.gmu.edu/mcpstah/source-analysis/declaration-of-independence/,http://chnm.gmu.edu/mcpstah/source-analysis/declaration-of-independence/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,FDR's Fireside Chats,/best-practices/examples-of-historical-thinking/24175,best-practices/examples-of-historical-thinking/fdrs-fireside-chats-24175.md,http://web.archive.org/web/20260616061530/https://www2.gwu.edu/~erpapers/,"The Eleanor
  Roosevelt Papers",hyperlink,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Intertextual Reading of Two Primary Documents,/best-practices/examples-of-historical-thinking/19529,best-practices/examples-of-historical-thinking/intertextual-reading-of-two-primary-documents-19529.md,http://historicalthinkingmatters.org/socialsecurity/1/studentwork/ta2/,student think-aloud,hyperlink,,False,False,200,https://historicalthinkingmatters.org/socialsecurity/1/studentwork/ta2/,benign,Historical Thinking Matters: Social Security,live,none,False,high,ok,,
best-practices,Intertextual Reading of Two Primary Documents,/best-practices/examples-of-historical-thinking/19529,best-practices/examples-of-historical-thinking/intertextual-reading-of-two-primary-documents-19529.md,http://historicalthinkingmatters.org/socialsecurity/1/sources/,here,hyperlink,,False,False,200,https://historicalthinkingmatters.org/socialsecurity/1/sources/,benign,Historical Thinking Matters: Social Security,live,none,False,high,ok,,
best-practices,John Brown's Body,/best-practices/examples-of-historical-thinking/25095,best-practices/examples-of-historical-thinking/john-browns-body-25095.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,John Smith Map,/best-practices/examples-of-historical-thinking/25096,best-practices/examples-of-historical-thinking/john-smith-map-25096.md,http://chnm.gmu.edu/loudountah/source-analysis/john-smith-map/,http://chnm.gmu.edu/loudountah/source-analysis/john-smith-map/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Massive Resistance Political Cartoons,/best-practices/examples-of-historical-thinking/25097,best-practices/examples-of-historical-thinking/massive-resistance-political-cartoons-25097.md,http://chnm.gmu.edu/loudountah/source-analysis/massive-resistance-cartoons/,http://chnm.gmu.edu/loudountah/source-analysis/massive-resistance-cartoons/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,My Lai Massacre Political Cartoon,/best-practices/examples-of-historical-thinking/24171,best-practices/examples-of-historical-thinking/my-lai-massacre-political-cartoon-24171.md,http://chnm.gmu.edu/mcpstah/source-analysis/vietnam-war-cartoon/scholar--analysis/,http://chnm.gmu.edu/mcpstah/source-analysis/vietnam-war-cartoon/scholar--analysis/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Narratives of Slavery,/best-practices/examples-of-historical-thinking/23459,best-practices/examples-of-historical-thinking/narratives-of-slavery-23459.md,http://www.sussex.ac.uk/cunliffe/,"Cunliffe Centre for the Study of the
  American South",hyperlink,,False,False,200,https://www.sussex.ac.uk/schools/media-arts-humanities/subjects-and-people/american-studies,benign,"American Studies : Subjects and people : Faculty of Media, Arts and Humanities : University of Sussex",live,none,False,high,ok,,
best-practices,Primary Sources as Windows into the Past,/best-practices/examples-of-historical-thinking/24027,best-practices/examples-of-historical-thinking/primary-sources-as-windows-into-the-past-24027.md,http://historicalthinkingmatters.org/scopestrial/1/studentwork/ta2/,student think-aloud,hyperlink,,False,False,200,https://historicalthinkingmatters.org/scopestrial/1/studentwork/ta2/,benign,Historical Thinking Matters: Scopes Trial,live,none,False,high,ok,,
best-practices,Primary Sources as Windows into the Past,/best-practices/examples-of-historical-thinking/24027,best-practices/examples-of-historical-thinking/primary-sources-as-windows-into-the-past-24027.md,http://historicalthinkingmatters.org/scopestrial/1/sources/40/,here,hyperlink,,False,False,200,https://historicalthinkingmatters.org/scopestrial/1/sources/40/,benign,Historical Thinking Matters: Scopes Trial,live,none,False,high,ok,,
best-practices,Reading for Context,/best-practices/examples-of-historical-thinking/24029,best-practices/examples-of-historical-thinking/reading-for-context-24029.md,http://historicalthinkingmatters.org/rosaparks/1/studentwork/ta1/,video,hyperlink,,False,False,200,https://historicalthinkingmatters.org/rosaparks/1/studentwork/ta1/,benign,Historical Thinking Matters: Rosa Parks,live,none,False,high,ok,,
best-practices,Reading for Context,/best-practices/examples-of-historical-thinking/24029,best-practices/examples-of-historical-thinking/reading-for-context-24029.md,http://historicalthinkingmatters.org/rosaparks/1/sources/25/,here,hyperlink,,False,False,200,https://historicalthinkingmatters.org/rosaparks/1/sources/25/,benign,Historical Thinking Matters: Rosa Parks,live,none,False,high,ok,,
best-practices,Scenes in the Life of Harriet Tubman,/best-practices/examples-of-historical-thinking/25379,best-practices/examples-of-historical-thinking/scenes-in-the-life-of-harriet-tubman-25379.md,http://docsouth.unc.edu/neh/bradford/menu.html,http://docsouth.unc.edu/neh/bradford/menu.html,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
