section,subsection,page_title,page_url,source_file,total_links,live,dead_A,rebrand_probably_broken,rebrand_probably_fine,rebrand_needs_human,soft404_B,blocked_unknown,needs_human,bulk_delete_candidates,broken_with_wayback,broken_no_wayback,suggested_page_action
best-practices,examples-of-historical-thinking,John Brown's Body,/best-practices/examples-of-historical-thinking/25095,best-practices/examples-of-historical-thinking/john-browns-body-25095.md,1,0,0,1,0,0,0,0,0,0,0,1,fix-links-only
best-practices,examples-of-historical-thinking,John Smith Map,/best-practices/examples-of-historical-thinking/25096,best-practices/examples-of-historical-thinking/john-smith-map-25096.md,1,0,0,1,0,0,0,0,0,0,0,1,fix-links-only
best-practices,examples-of-historical-thinking,Massive Resistance Political Cartoons,/best-practices/examples-of-historical-thinking/25097,best-practices/examples-of-historical-thinking/massive-resistance-political-cartoons-25097.md,1,0,0,1,0,0,0,0,0,0,0,1,fix-links-only
best-practices,examples-of-historical-thinking,My Lai Massacre Political Cartoon,/best-practices/examples-of-historical-thinking/24171,best-practices/examples-of-historical-thinking/my-lai-massacre-political-cartoon-24171.md,1,0,0,1,0,0,0,0,0,0,0,1,fix-links-only
best-practices,examples-of-historical-thinking,Scenes in the Life of Harriet Tubman,/best-practices/examples-of-historical-thinking/25379,best-practices/examples-of-historical-thinking/scenes-in-the-life-of-harriet-tubman-25379.md,1,0,1,0,0,0,0,0,0,0,0,1,fix-links-only
best-practices,examples-of-historical-thinking,Slave Receipts,/best-practices/examples-of-historical-thinking/23641,best-practices/examples-of-historical-thinking/slave-receipts-23641.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
best-practices,examples-of-historical-thinking,The Iran Hostage Crisis: Diary of Robert Ode,/best-practices/examples-of-historical-thinking/25318,best-practices/examples-of-historical-thinking/the-iran-hostage-crisis-diary-of-robert-ode-25318.md,1,0,1,0,0,0,0,0,0,0,0,1,fix-links-only
best-practices,teaching-in-action,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,4,2,1,0,1,0,0,0,0,0,0,1,fix-links-only
best-practices,teaching-in-action,FDR's Fireside Chats,/best-practices/teaching-in-action/24176,best-practices/teaching-in-action/fdrs-fireside-chats-24176.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
best-practices,teaching-in-action,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,8,5,0,3,0,0,0,0,0,0,0,3,fix-links-only
best-practices,teaching-in-action,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,4,3,0,1,0,0,0,0,0,0,0,1,fix-links-only
best-practices,teaching-in-action,Opening up the Textbook: Voices from My Lai,/best-practices/teaching-in-action/23893,best-practices/teaching-in-action/opening-up-the-textbook-voices-from-my-lai-23893.md,2,1,0,0,0,0,0,1,0,0,0,0,fix-links-only
best-practices,teaching-in-action,Organize Your Thinking to Critically Analyze Text,/best-practices/teaching-in-action/25461,best-practices/teaching-in-action/organize-your-thinking-to-critically-analyze-text-25461.md,1,0,1,0,0,0,0,0,0,0,0,1,fix-links-only
best-practices,teaching-in-action,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,5,0,0,0,0,0,0,5,0,0,0,0,fix-links-only
best-practices,teaching-in-action,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,5,4,0,1,0,0,0,0,0,0,0,1,fix-links-only
best-practices,teaching-in-action,Using Maps as Primary Sources,/best-practices/teaching-in-action/15772,best-practices/teaching-in-action/using-maps-as-primary-sources-15772.md,1,0,0,1,0,0,0,0,0,0,0,1,fix-links-only
best-practices,teaching-in-action,What Does It Mean to Be an American?,/best-practices/teaching-in-action/22440,best-practices/teaching-in-action/what-does-it-mean-to-be-an-american-22440.md,1,0,0,1,0,0,0,0,0,0,0,1,fix-links-only
best-practices,teaching-with-textbooks,Children’s Voices from the Civil War,/best-practices/teaching-with-textbooks/22467,best-practices/teaching-with-textbooks/childrens-voices-from-the-civil-war-22467.md,3,1,1,0,0,0,0,1,0,1,0,1,fix-links-only
