section,page_title,page_url,source_file,link_url,link_text,http_status,final_url,remote_title,redirect_domain_changed,needs_review,reason
history-content,Government Printing Office,/history-content/national-resources/21919,history-content/national-resources/government-printing-office-21919.md,http://bensguide.gpo.gov/3-5/index.html,3–5,200,https://bensguide.gpo.gov/page404,Error! Page Not Found !!,False,True,suspicious title keyword: 'not found'
history-content,Government Printing Office,/history-content/national-resources/21919,history-content/national-resources/government-printing-office-21919.md,http://bensguide.gpo.gov/6-8/documents/index.html,historical documents,200,https://bensguide.gpo.gov/page404,Error! Page Not Found !!,False,True,suspicious title keyword: 'not found'
history-content,Government Printing Office,/history-content/national-resources/21919,history-content/national-resources/government-printing-office-21919.md,http://bensguide.gpo.gov/6-8/index.html,6–8,200,https://bensguide.gpo.gov/page404,Error! Page Not Found !!,False,True,suspicious title keyword: 'not found'
history-content,Government Printing Office,/history-content/national-resources/21919,history-content/national-resources/government-printing-office-21919.md,http://bensguide.gpo.gov/k-2/index.html,K–2,200,https://bensguide.gpo.gov/page404,Error! Page Not Found !!,False,True,suspicious title keyword: 'not found'
history-content,Government Printing Office,/history-content/national-resources/21919,history-content/national-resources/government-printing-office-21919.md,http://bensguide.gpo.gov/pt/index.html,parent and teacher guide,200,https://bensguide.gpo.gov/page404,Error! Page Not Found !!,False,True,suspicious title keyword: 'not found'
blog,Maps: They're Not Just for Geography Any More,/nhec-blog/23897,blog/maps-theyre-not-just-for-geography-any-more-23897.md,http://joewoodonline.pbworks.com/Sharing-Stories-with-Google-Earth,Google Earth (& Maps!) in the Classroom,200,http://secure.pbworks.com/error/wiki?wiki=joewoodonline,Workspace not found,True,True,redirected to different domain: secure.pbworks.com; suspicious title keyword: 'not found'
teaching-materials,What Really Happened? Comparing Stories of the First Thanksgiving,/teaching-materials/lesson-plan-reviews/25034,teaching-materials/lesson-plan-reviews/what-really-happened-comparing-stories-of-the-first-thanksgiving-25034.md,http://kids.nationalgeographic.com/kids/stories/history/,National Geographic Kids,200,https://kids.nationalgeographic.com/kids/stories/history/,National Geographic Kids - 404 | National Geographic Kids,False,True,suspicious title keyword: '404'
teaching-materials,What Really Happened? Comparing Stories of the First Thanksgiving,/teaching-materials/lesson-plan-reviews/25034,teaching-materials/lesson-plan-reviews/what-really-happened-comparing-stories-of-the-first-thanksgiving-25034.md,http://kids.nationalgeographic.com/kids/stories/history/first-thanksgiving/,one,200,https://kids.nationalgeographic.com/kids/stories/history/first-thanksgiving/,National Geographic Kids - 404 | National Geographic Kids,False,True,suspicious title keyword: '404'
teaching-materials,Elementary Military History Resources,/teaching-materials/ask-a-master-teacher/23577,teaching-materials/ask-a-master-teacher/elementary-military-history-resources-23577.md,http://librarybooklists.org/fiction/ya/yahistorical.htm,Young Adult Historical Fiction,200,http://librarybooklists.org/fiction/ya/yahistorical.htm,Library Booklists: Young Adult Historical Fiction,False,True,suspicious title keyword: 'adult'
teaching-materials,Seeking U.S. History Books for 9th and 11th Graders,/teaching-materials/ask-a-master-teacher/20685,teaching-materials/ask-a-master-teacher/seeking-us-history-books-for-9th-and-11th-graders-20685.md,http://librarybooklists.org/fiction/ya/yahistorical.htm,Library Booklists,200,http://librarybooklists.org/fiction/ya/yahistorical.htm,Library Booklists: Young Adult Historical Fiction,False,True,suspicious title keyword: 'adult'
history-content,National Institute for Literacy,/history-content/national-resources/23784,history-content/national-resources/national-institute-for-literacy-23784.md,http://lincs.ed.gov,tips for teaching literacy,200,https://lincs.ed.gov/,LINCS | Adult Education and Literacy | U.S. Department of Education,False,True,suspicious title keyword: 'adult'
history-content,National Institute for Literacy,/history-content/national-resources/23784,history-content/national-resources/national-institute-for-literacy-23784.md,http://lincs.ed.gov/adolescence/adolresearch.html,adolescence section,200,https://lincs.ed.gov/adolescence/adolresearch.html,Adolescent Research | Adult Education and Literacy | U.S. Department of Education,False,True,suspicious title keyword: 'adult'
history-content,National Institute for Literacy,/history-content/national-resources/23784,history-content/national-resources/national-institute-for-literacy-23784.md,http://lincs.ed.gov/childhood/childresearch.html,Childhood,200,https://lincs.ed.gov/user/login?destination=/childhood/childresearch.html,Sign in to LINCS | Adult Education and Literacy | U.S. Department of Education,False,True,suspicious title keyword: 'adult'
blog,Join the Clearinghouse on Facebook and Twitter!,/nhec-blog/21849,blog/join-the-clearinghouse-on-facebook-and-twitter-21849.md,http://m.facebook.com/?lh=62ee2b0f791b0bdb51d4a04ba66e9da3&refsrc=http%3A%2F%2Fwww.facebook.com%2Findex.php&_rdr,Sign up for an account,200,https://m.facebook.com/?lh=62ee2b0f791b0bdb51d4a04ba66e9da3&refsrc=http%3A%2F%2Fwww.facebook.com%2Findex.php&_rdr,Error,False,True,suspicious title keyword: 'error'
blog,National Council for Social Studies: Building Community with Ning,/nhec-blog/22390,blog/national-council-for-social-studies-building-community-with-ning-22390.md,http://teachertube.com/viewVideo.php?video_id=83247&title=Delicious_social_bookmarking_in_Plain_English,Delicious,200,https://www.teachertube.com/status?code=404,Error404,False,True,suspicious title keyword: '404'
teaching-materials,Picking Civics Textbooks,/teaching-materials/ask-a-master-teacher/25062,teaching-materials/ask-a-master-teacher/picking-civics-textbooks-25062.md,http://tpscongress.org/,learning modules,200,https://nami-slot.com/,NAMISLOT @ Destinasi Permainan Interaktif dengan Fitur Modern,True,True,redirected to different domain: nami-slot.com; suspicious title keyword: 'slot'
page,Digital Classroom Introduction,/digital-classroom-intro,page/digital-classroom-introduction-24406.md,http://www.albanyinstitute.org/z-%20AIHA%20website/7-Education/Videoconferencing/education.videoconferencing.htm,Albany Institute Videoconferencing,200,https://www.albanyinstitute.org/page-not-found-404,Page Not Found,False,True,suspicious title keyword: 'not found'
history-content,Federal Judicial Center,/history-content/national-resources/19191,history-content/national-resources/federal-judicial-center-19191.md,http://www.fjc.gov/history/home.nsf/page/teaching.html,Teaching Judicial History: Federal Trials and Great Debates in United States History,200,https://www.fjc.gov/node/1285466,Page not found | Federal Judicial Center,False,True,suspicious title keyword: 'not found'
history-content,Federal Judicial Center,/history-content/national-resources/19191,history-content/national-resources/federal-judicial-center-19191.md,http://www.fjc.gov/public/home.nsf/hisj,biographical directory,200,https://www.fjc.gov/node/1285466,Page not found | Federal Judicial Center,False,True,suspicious title keyword: 'not found'
blog,Searching for Sesquicentennial Sources,/nhec-blog/24599,blog/searching-for-sesquicentennial-sources-24599.md,http://www.loc.gov/coll/nucmc/civilwar/,21 sources,200,https://www.loc.gov/coll/nucmc/404error.html,"Page Not Found: National Union Catalog of Manuscript Collections (NUCMC), Library of Congress",False,True,suspicious title keyword: 'not found'
blog,Interactive Exhibit from the American Art Museum,/nhec-blog/21991,blog/interactive-exhibit-from-the-american-art-museum-21991.md,http://www.primaryaccess.org,primaryaccess.org,200,https://www.primaryaccess.org/,Primary Access to Casino Industry News,False,True,suspicious title keyword: 'casino'
history-content,Modern Civil Rights Movement,/history-content/beyond-the-textbook/24318,history-content/beyond-the-textbook/modern-civil-rights-movement-24318.md,http://www.radicalking.com/,"Dr. King: War, Peace, and Poverty",200,https://www.radicalking.com/,Coming Soon,False,True,suspicious title keyword: 'coming soon'
history-content,U.S. Senate Historical Office,/history-content/national-resources/19195,history-content/national-resources/us-senate-historical-office-19195.md,http://www.senate.gov/pagelayout/art/g_three_sections_with_teasers/exhibits.htm,exhibits,200,https://www.senate.gov/pagelayout/general/one_item_and_teasers/file_not_found.htm,U.S. Senate: 404 Error Page,False,True,suspicious title keyword: '404'
history-content,U.S. Senate Historical Office,/history-content/national-resources/19195,history-content/national-resources/us-senate-historical-office-19195.md,http://www.senate.gov/pagelayout/history/g_three_sections_with_teasers/people.htm,senate biographies,200,https://www.senate.gov/pagelayout/general/one_item_and_teasers/file_not_found.htm,U.S. Senate: 404 Error Page,False,True,suspicious title keyword: '404'
history-content,Supreme Court Nominations,/history-content/ask-a-historian/22435,history-content/ask-a-historian/supreme-court-nominations-22435.md,http://www.senate.gov/pagelayout/reference/nominations/Nominations.htm,http://www.senate.gov/pagelayout/reference/nominations/Nominations.htm,200,https://www.senate.gov/pagelayout/general/one_item_and_teasers/file_not_found.htm,U.S. Senate: 404 Error Page,False,True,suspicious title keyword: '404'
digital-classroom,Creating Cartoons: Pixton & ToonDoo,/digital-classroom/tech-for-teachers/25056,digital-classroom/tech-for-teachers/creating-cartoons-pixton-toondoo-25056.md,http://www.toondoo.com/,ToonDoo,200,https://www.toondoo.com/,Best Safe Online Casinos in the US in 2025 - Leading Safe Casinos,False,True,suspicious title keyword: 'casino'
history-content,Dissent in the Ranks,/history-content/ask-a-historian/24484,history-content/ask-a-historian/dissent-in-the-ranks-24484.md,http://www.upne.com/0-930350-43-X.html,*War of American Independence.*,200,https://urbanbrewandbbq.com/,Deneme Bonusu Veren Siteler |Yeni Casino Siteleri,True,True,redirected to different domain: urbanbrewandbbq.com; suspicious title keyword: 'casino'
history-content,U.S. Air Force,/history-content/national-resources/22483,history-content/national-resources/us-air-force-22483.md,https://www.af.mil/About-Us/Speeches-Archive/,speech transcripts,200,https://www.af.mil/Page-Not-Found/?original_path=/About-Us/Speeches-Archive/,Air Force > Page Not Found,False,True,suspicious title keyword: 'not found'
teaching-materials,9/11 and Commemoration: A Guide for Pre-Service Teachers,/teaching-materials/teaching-guides/25877,teaching-materials/teaching-guides/911-and-commemoration-a-guide-for-pre-service-teachers-25877.md,https://www.loc.gov/pictures/collection/highsm/item/2002717287/,www.loc.gov/pictures/collection/highsm/item/2002717287/,200,https://www.loc.gov/pictures/collection/highsm/item/2002717287/,"[Angel memorial near the Shanksville, Pa., crash site of United Airlines Flight 93, which was highjacked in the September 11th terrorist attacks]",False,True,suspicious title keyword: 'error'
teaching-materials,9/11 and Commemoration: A Guide for Pre-Service Teachers,/teaching-materials/teaching-guides/25877,teaching-materials/teaching-guides/911-and-commemoration-a-guide-for-pre-service-teachers-25877.md,https://www.loc.gov/pictures/collection/highsm/item/2002717288/,www.loc.gov/pictures/collection/highsm/item/2002717288/,200,https://www.loc.gov/pictures/collection/highsm/item/2002717288/,"[Wreath memorial, Shanksville, Pa., decorated with photographs of the victims of United Airlines Flight 93, which was highjacked in the September 11th terrorist attacks]",False,True,suspicious title keyword: 'error'
teaching-materials,9/11 and Commemoration: A Guide for Pre-Service Teachers,/teaching-materials/teaching-guides/25877,teaching-materials/teaching-guides/911-and-commemoration-a-guide-for-pre-service-teachers-25877.md,https://www.loc.gov/pictures/collection/highsm/item/2011631500/,www.loc.gov/pictures/collection/highsm/item/2011631500/,200,https://www.loc.gov/pictures/collection/highsm/item/2011631500/,"Memorial to the brave souls of Flight 93 that crashed in Shanksville, Pennsylvania on September 11, 2001 after a terrorist attack",False,True,suspicious title keyword: 'error'
teaching-materials,9/11 and Commemoration: A Guide for Pre-Service Teachers,/teaching-materials/teaching-guides/25877,teaching-materials/teaching-guides/911-and-commemoration-a-guide-for-pre-service-teachers-25877.md,https://www.loc.gov/pictures/collection/highsm/item/2011631553/,www.loc.gov/pictures/collection/highsm/item/2011631553/,200,https://www.loc.gov/pictures/collection/highsm/item/2011631553/,"Memorial gate, where people from all over the world have left momentos to honor the victims of the September 11, 2001 terrorist hijacking of Flight 93. Shanksville, Pennsylvania",False,True,suspicious title keyword: 'error'
teaching-materials,9/11 and Commemoration: A Guide for Pre-Service Teachers,/teaching-materials/teaching-guides/25877,teaching-materials/teaching-guides/911-and-commemoration-a-guide-for-pre-service-teachers-25877.md,https://www.loc.gov/pictures/collection/highsm/item/2011634321/,www.loc.gov/pictures/collection/highsm/item/2011634321/,200,https://www.loc.gov/pictures/collection/highsm/item/2011634321/,Citizen artwork at an informal memorial to the victims who died on United flight 93 when they attempted to overpower hijackers during the terrorist attacks of 9/11/2001,False,True,suspicious title keyword: 'error'
teaching-materials,9/11 and Commemoration: A Guide for Pre-Service Teachers,/teaching-materials/teaching-guides/25877,teaching-materials/teaching-guides/911-and-commemoration-a-guide-for-pre-service-teachers-25877.md,https://www.loc.gov/pictures/collection/highsm/item/2014632438/,www.loc.gov/pictures/collection/highsm/item/2014632438/,200,https://www.loc.gov/pictures/collection/highsm/item/2014632438/,"A piece of steel from the World Trade Center, destroyed by a terrorist attack on Sept. 11, 2001 in New York City. It is displayed as a memorial at the Texas State Cemetery in Austin, Texas",False,True,suspicious title keyword: 'error'
teaching-materials,9/11 and Commemoration: A Guide for Pre-Service Teachers,/teaching-materials/teaching-guides/25877,teaching-materials/teaching-guides/911-and-commemoration-a-guide-for-pre-service-teachers-25877.md,https://www.loc.gov/pictures/collection/highsm/item/2017882500/,www.loc.gov/pictures/collection/highsm/item/2017882500/,200,https://www.loc.gov/pictures/collection/highsm/item/2017882500/,"Portland, Maine's, modest memorial to those lost in the terrorist attacks on the United States on 9/11/2001, at Fort Allen Park at the busy harbor on Casco Bay in Maine's largest city",False,True,suspicious title keyword: 'error'
teaching-materials,9/11 and Commemoration: A Guide for Pre-Service Teachers,/teaching-materials/teaching-guides/25877,teaching-materials/teaching-guides/911-and-commemoration-a-guide-for-pre-service-teachers-25877.md,https://www.loc.gov/pictures/collection/highsm/item/2018699980/,www.loc.gov/pictures/collection/highsm/item/2018699980/,200,https://www.loc.gov/pictures/collection/highsm/item/2018699980/,"Interior view of the World Trade Center Memorial and Museum in downtown Manhattan (borough) in New York City, built on the site of the terrorist attack that brought down the World Trade Center's ""Twin",False,True,suspicious title keyword: 'error'
