section,page_title,page_url,source_file,link_url,link_text,http_status,reason,wayback_url,wayback_timestamp,wayback_status
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.learner.org/resources/series172.html?pop=yes&pid=1864#,*Learning from Others: Learning in a Social Context*,404,HTTP 404,,,not_archived
best-practices,Geo-Literacy Project: Students Explore Their World,/best-practices/teaching-in-action/23798,best-practices/teaching-in-action/geo-literacy-project-students-explore-their-world-23798.md,http://www.edutopia.org/geography-literacy-elementary-project-video,website,404,HTTP 404,http://web.archive.org/web/20220123203235/https://www.edutopia.org/geography-literacy-elementary-project-video,20220123203235,found
best-practices,Organize Your Thinking to Critically Analyze Text,/best-practices/teaching-in-action/25461,best-practices/teaching-in-action/organize-your-thinking-to-critically-analyze-text-25461.md,https://www.teachingchannel.org/videos/organize-your-thinking-to-critically-analyze-text?resume=0,video,CONN_ERROR,Connection failed (site may be down),,,not_archived
best-practices,Reading and Thinking Aloud to Understand,/best-practices/teaching-in-action/20795,best-practices/teaching-in-action/reading-and-thinking-aloud-to-understand-20795.md,http://www.wested.org/cs/ra/print/docs/ra/home.htm,Reading Apprenticeship,404,HTTP 404,http://web.archive.org/web/20130314081306/http://www.wested.org:80/cs/ra/print/docs/ra/home.htm,20130314081306,found
best-practices,Teaching Historical Interpretation through Planning Documentary Films,/best-practices/teaching-in-action/20341,best-practices/teaching-in-action/teaching-historical-interpretation-through-planning-documentary-films-20341.md,http://www.firstworldwar.com/battles/somme.htm,"Battle of the Somme,",SSL_ERROR,SSL certificate error,http://web.archive.org/web/20260509204827/https://www.firstworldwar.com/battles/somme.htm,20260509204827,found
best-practices,Children’s Voices from the Civil War,/best-practices/teaching-with-textbooks/22467,best-practices/teaching-with-textbooks/childrens-voices-from-the-civil-war-22467.md,http://memory.loc.gov/cgi-bin/query/r?ammem/awhbib:@field(NUMBER+@od1(cph+3g07983,"photograph, ""A Soldier and His Family.""",TIMEOUT,Timed out after 15s,,,not_archived
best-practices,Learning Menus: Textbooks a la Carte,/best-practices/teaching-with-textbooks/25584,best-practices/teaching-with-textbooks/learning-menus-textbooks-a-la-carte-25584.md,https://www.teachingchannel.org/video/differentiating-instruction-strategy,Differentiating with Learning Menus,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20191112061243/https://www.teachingchannel.org/video/differentiating-instruction-strategy,20191112061243,found
best-practices,Learning Menus: Textbooks a la Carte,/best-practices/teaching-with-textbooks/25584,best-practices/teaching-with-textbooks/learning-menus-textbooks-a-la-carte-25584.md,https://www.teachingchannel.org/,Teaching Channel website,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20191215063245/https://www.teachingchannel.org/,20191215063245,found
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://sitemaker.soe.umich.edu/soe/faculty_introduction&mode=single&recordID=50709,Robert Bain,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20130521191518/http://sitemaker.soe.umich.edu/soe/faculty_introduction&mode=single&recordID=50709,20130521191518,found
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://www.nps.gov/history/nr/twhp/period.htm,Lesson Plans at Teaching with Historic Places,404,HTTP 404,,,not_archived
best-practices,Questioning Textbook Authority,/best-practices/teaching-with-textbooks/20571,best-practices/teaching-with-textbooks/questioning-textbook-authority-20571.md,http://memory.loc.gov/ammem/index.html,American Memory,TIMEOUT,Timed out after 15s,,,not_archived
best-practices,The Grammar of History Textbooks Part II: Questioning the Text,/best-practices/teaching-with-textbooks/20574,best-practices/teaching-with-textbooks/the-grammar-of-history-textbooks-part-ii-questioning-the-text-20574.md,http://www.alea.edu.au/documents/item/70,"""Literacy in history: Language and meaning,""",404,HTTP 404,,,not_archived
best-practices,Using Historiography to Analyze the Mexican-American War,/best-practices/teaching-with-textbooks/20424,best-practices/teaching-with-textbooks/using-historiography-to-analyze-the-mexican-american-war-20424.md,http://www.dmwv.org/mexwar/mexwar1.htm,The U.S.-Mexican War,404,HTTP 404,http://web.archive.org/web/20210222132250/http://www.dmwv.org/mexwar/mexwar1.htm,20210222132250,found
best-practices,Critically Analyzing Information Sources,/best-practices/using-primary-sources/24463,best-practices/using-primary-sources/critically-analyzing-information-sources-24463.md,https://olinuris.library.cornell.edu/ref/research/webeval.html,page,404,HTTP 404,http://web.archive.org/web/20170106180652/https://olinuris.library.cornell.edu/ref/research//webeval.html,20170106180652,found
best-practices,"George Washington, A National Treasure",/best-practices/using-primary-sources/24464,best-practices/using-primary-sources/george-washington-a-national-treasure-24464.md,http://www.georgewashington.si.edu/kids/teacherguide.html,a series of lesson plans,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20251011124103/https://georgewashington.si.edu/kids/teacherguide.html,20251011124103,found
best-practices,Interactive Exercises—Analyzing Artifacts,/best-practices/using-primary-sources/25684,best-practices/using-primary-sources/interactive-exercisesanalyzing-artifacts-25684.md,http://www.learner.org/courses/amerhistory/interactives/artifacts/index.html,interactive exercise,404,HTTP 404,http://web.archive.org/web/20191212191359/http://www.learner.org:80/courses/amerhistory/interactives/artifacts/index.html,20191212191359,found
best-practices,Interactivity,/best-practices/using-primary-sources/24462,best-practices/using-primary-sources/interactivity-24462.md,http://www.learner.org/interactives/historical/index.html,tool,404,HTTP 404,http://web.archive.org/web/20190601195512/http://www.learner.org:80/interactives/historical/index.html,20190601195512,found
best-practices,Interactivity,/best-practices/using-primary-sources/24462,best-practices/using-primary-sources/interactivity-24462.md,http://www.learner.org/interactives/,Annenberg Media website,404,HTTP 404,,,not_archived
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/keyConcepts.php,site,404,HTTP 404,http://web.archive.org/web/20240116032035/https://canadianmysteries.ca/en/keyConcepts.php,20240116032035,found
best-practices,Key Concepts in Historical Thinking,/best-practices/using-primary-sources/25443,best-practices/using-primary-sources/key-concepts-in-historical-thinking-25443.md,http://canadianmysteries.ca/en/3513.php,exercise,404,HTTP 404,http://web.archive.org/web/20240301114924/https://www.canadianmysteries.ca/en/3513.php,20240301114924,found
